Station Name,Street Address,City,ZIP,Station Phone,Access Days Time,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,EV Connector Types,Facility Type,EV Pricing
Alectra Utilities,161 Cityview Blvd,Vaughan,L4H 0A9,905-417-6900,24 hours daily,,2,Non-Networked,43.850021,-79.551219,2020-01-06,83841,2021-06-07 17:08:43 UTC,CHADEMO J1772COMBO,OFFICE_BLDG,Free
Laplante Chevrolet Cadillac,640 Main St,West Hawkesbury,K6A 2J3,613-632-2764,24 hours daily,1,1,Non-Networked,45.611323,-74.624095,2022-03-04,83882,2022-04-28 20:01:31 UTC,J1772 J1772COMBO,CAR_DEALER,Free
BVD Petroleum - Comber - Tesla Supercharger,7018 Industrial Drive,Comber,N0P 1J0,877-798-3752,24 hours daily; for Tesla use only,,8,Tesla,42.239116,-82.550227,2021-10-11,83915,2021-11-04 18:37:47 UTC,TESLA,GAS_STATION,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
Ramada Cornwall - Tesla Supercharger,805 Brookdale Avenue,Cornwall,K6J 4P3,877-798-3752,24 hours daily; for Tesla use only,,6,Tesla,45.023716,-74.748123,2021-10-11,83919,2021-11-04 18:37:47 UTC,TESLA,HOTEL,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
Town of Whitewood,731 Lalonde St,Whitewood,S0G 5C0,306-735-2210,24 hours daily,3,,Non-Networked,50.329089,-102.266694,2021-06-07,83951,2022-04-26 16:04:15 UTC,J1772 TESLA,MUNI_GOV,Free
Northstar Ford,540 Memorial Dr,Fort McMurray,T9K 4V9,780-791-7911  780-804-1611,7am-7pm daily,1,1,Non-Networked,56.76087334,-111.419394,2021-11-02,83955,2022-04-26 16:04:15 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Port Hope Travel Center - Tesla Supercharger,6498 Telephone Rd.,Port Hope,L1A3V6,877-798-3752,24 hours daily; for Tesla use only,,8,Tesla,43.971602,-78.285397,2021-10-11,83973,2021-11-04 18:37:47 UTC,TESLA,TRAVEL_CENTER,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
ImPark,5775 Yonge St,Toronto,M2M 4J1,416-369-1801,24 hours daily,2,1,Non-Networked,43.78332,-79.416048,2022-04-13,83985,2022-04-26 16:04:15 UTC,CHADEMO J1772 J1772COMBO,PAY_GARAGE,"Level 2: $5 for first hour, $12 per hour after; DC Fast: $5 per hour for first hour, $24 per hour after"
Societe Laurentides,4660 boul. de Shawinigan-Sud,Shawinigan-Sud,G9N 6T5,,24 hours daily; for employees only,3,,Non-Networked,46.495821,-72.718547,2020-04-10,84014,2022-04-28 20:01:31 UTC,J1772 TESLA,UTILITY,Free
Societe Laurentides,4660 boul. de Shawinigan-Sud,Shawinigan-Sud,G9N 6T5,,For employee use only,2,,Non-Networked,46.495821,-72.718547,2020-04-10,84015,2022-04-28 20:01:31 UTC,J1772 TESLA,UTILITY,Free
Tim Horton's,525 Highway 11 W,Fort Frances,P9A 3J3,807-274-3953,24 hours daily,,1,Non-Networked,48.61012497,-93.41509173,2022-04-13,84130,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,
ImPark - Citibank Building,123 Front St W,Toronto,M5J 2M3,416-864-0848,24 hours daily,,1,Non-Networked,43.645275,-79.38256,2021-04-12,84140,2022-04-08 18:15:10 UTC,CHADEMO J1772COMBO,PAY_GARAGE,$24 per hour
BC Hydro - Trail Bay Mall,5755 Cowrie St,Sechelt,V0N 3A0,604-740-8469,24 hours daily,,2,BCHYDRO,49.4721921,-123.7619572,2021-12-13,84159,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,PARKING_LOT,Free
Westbank United Church,3678 Brown Rd,Central Okanagan,V4T 1Z1,855-900-7584,24 hours daily,,2,Greenlots,49.830239,-119.628203,2020-04-10,84164,2021-06-07 17:08:43 UTC,CHADEMO J1772COMBO,PLACE_OF_WORSHIP,$0.35 per kWh
Gourmet de l'Erabliere,104 Rte Cliche-Golden,Frampton,G0R 1M0,418-479-5226,11am-7pm F-Sun,2,,Non-Networked,46.461102,-70.806563,2021-07-15,84187,2022-04-26 16:04:15 UTC,J1772 TESLA,RESTAURANT,Free for clients; $7/hour for non clients during business hours
Huber Bannister Chevrolet,933 Westminster Ave W,Penticton,V2A 1L1,250-493-2333,"8am-5pm M-F, 8am-4pm Sat",1,1,Non-Networked,49.497712,-119.60592,2022-04-13,84225,2022-04-26 16:04:15 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Addison Chevrolet GMC,6600 Turner Valley Rd,Mississauga,L5N 5Z1,844-956-3735,Business hours,1,1,Non-Networked,43.597203,-79.740092,2022-02-10,84322,2022-04-26 16:04:15 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Ray Cullen Chevrolet,730 Wharncliffe Rd S,London,N6J 2N7,519-686-7282,24 hours daily,,1,Non-Networked,42.947677,-81.258042,2022-03-04,84378,2022-04-26 16:04:15 UTC,J1772COMBO,CAR_DEALER,Free
Clayoquot Sound Community Theatre,384 Campbell St,Tofino,V0R 2Z0,250-725-3229,24 hours daily; parking fee required,3,,Tesla Destination,49.152761,-125.905023,2019-11-08,84446,2021-06-07 17:08:43 UTC,J1772 TESLA,MUNI_GOV,Free
ImPark,175 Bloor St E,Toronto,M5S 2C6,416-369-1801,24 hours daily,1,1,Non-Networked,43.668613,-79.394558,2021-04-12,84524,2022-04-08 18:15:10 UTC,CHADEMO J1772 J1772COMBO,PAY_GARAGE,Free
ImPark - Lucliff Place,700 Bay St,Toronto,M5G 2K4,,24 hours daily,4,1,Non-Networked,43.658226,-79.385065,2021-04-12,84526,2022-04-07 20:03:38 UTC,CHADEMO J1772 J1772COMBO,PAY_GARAGE,
Triovest,80 Courtneypark Dr E,Mississauga,L5T 2Y3,888-908-8303,24 hours daily; EV Route App,,2,Non-Networked,43.637139,-79.691526,2020-11-09,84532,2022-04-07 14:11:06 UTC,CHADEMO J1772COMBO,SHOPPING_CENTER,Variable prices
EVC Canada,80 Allstate Pkwy,Markham,L3R 8C5,877-297-8050,24 hours daily,,2,EV Connect,43.853502,-79.368117,2022-04-13,84538,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,OFFICE_BLDG,$3.95 session fee + $0.20 per minute or $16.95 flat station fee
Tim Horton's,1527 Water St,Peterborough,K9J 6X5,705-876-0342,24 hours daily,,1,Non-Networked,44.3508257,-78.3013815,2022-01-11,84549,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,Free
Auberge du Lac-a-l'Eau Claire,500 Ch du Lac-a- l'Eau-Claire,St-Alexis-des-Monts,J0K 1V0,877-265-3185,24 hours daily,4,,Non-Networked,46.543158,-73.087906,2021-12-13,84565,2022-04-26 16:04:15 UTC,J1772 TESLA,HOTEL,Free
Powertech Labs,12388 88th Ave,Surrey,V3W 7R7,604-590-7500,8am-6pm M-F; For employees only,3,2,Non-Networked,49.160759,-122.879765,2022-04-13,84567,2022-05-25 19:58:29 UTC,CHADEMO J1772 J1772COMBO,RESEARCH_FACILITY,Free
Les Promenades Drummondville - Tesla Supercharger,755 boul. Rene-Levesque,Drummondville,J2C 6Y7,877-798-3752,24 hours daily; for Tesla use only,,8,Tesla,45.899084,-72.51942,2021-10-11,84696,2021-11-04 18:37:47 UTC,TESLA,SHOPPING_CENTER,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
Marc Cossette Inc,1450 105e Av,Shawinigan-Sud,G9P 1M3,819-536-2611,24 hours daily,3,,Non-Networked,46.523182,-72.749833,2022-01-11,84701,2022-04-26 16:04:15 UTC,J1772 TESLA,UTILITY,Free
Municipalite St-Adelphe,601 rue Principale,Saint-Adelphe,G0X 2G0,418-322-5721,24 hours daily,3,,Non-Networked,46.732594,-72.432509,2021-12-13,84707,2022-04-26 16:04:15 UTC,J1772 TESLA,MUNI_GOV,Free
Ville de Becancour Hôtel de Ville,1295 Av Nicolas-Perrot,Becancour,G9H 3V4,819-294-6500,24 hours daily,3,,Non-Networked,46.403617,-72.275008,2021-11-02,84723,2022-04-26 16:04:15 UTC,J1772 TESLA,MUNI_GOV,Free
Comfort Inn,1255 boul. Duplessis,Québec City,G2G 2B4,418-872-5900,24 hours daily; for guest use only,2,,Non-Networked,46.7881046,-71.3529763,2021-12-13,84734,2022-04-28 20:01:31 UTC,J1772 TESLA,HOTEL,L2: $8 per session; Tesla: $10 per session
Country Grocer,374 Lower Ganges Rd,Salt Spring Island,V8K 2V7,250-537-4144,24 hours daily,4,,Non-Networked,48.860785,-123.510723,2021-09-09,84772,2022-04-26 16:04:15 UTC,J1772 TESLA,GROCERY,Free
VanDusen Chevrolet Buick GMC,425 Bayly St W,Ajax,L1S 6M3,905-427-2500,24 hours daily,1,1,Non-Networked,43.83961,-79.033281,2021-06-07,84910,2022-04-26 16:04:15 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Laplante Chevrolet Buick GMC,632 Principale St,Casselman,K0A 1M0,866-393-5922,24 hours daily,1,1,Non-Networked,45.307333,-75.081801,2021-06-07,84968,2022-04-26 16:04:15 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Canmore Rocky Mountain Inn - Tesla Supercharger,1719 Bow Valley Trail,Canmore,T1W 1L7,877-798-3752,24 hours daily; for Tesla use only,,4,Tesla,51.100208,-115.359179,2021-10-11,85030,2021-11-04 18:37:47 UTC,TESLA,HOTEL,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
BJ Teriyaki House & Waffles - Tesla Supercharger,2323 7 Ave,Fort MacLeod,T0L 0Z0,877-798-3752,24 hours daily; for Tesla use only,,8,Tesla,49.724901,-113.397189,2021-10-11,85034,2021-11-04 18:37:47 UTC,TESLA,RESTAURANT,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
Best Western Plus - Tesla Supercharger,3969 Crawford Ave.,Merritt,V1K0A4,877-798-3752,24 hours daily; for Tesla use only,,8,Tesla,50.124377,-120.751136,2021-10-11,85050,2021-11-04 18:37:47 UTC,TESLA,HOTEL,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
Best Western Plus - Tesla Supercharger,1925 Laforme Blvd.,Revelstoke,V0E 2S0,877-798-3752,24 hours daily; for Tesla use only,,4,Tesla,51.009594,-118.218857,2021-10-11,85067,2021-11-04 18:37:47 UTC,TESLA,HOTEL,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
Park Place - Tesla Supercharger,100 Mapleview Drive East,Barrie,L4N 9H6,877-798-3752,24 hours daily; for Tesla use only,,8,Tesla,44.341123,-79.678975,2021-10-11,85109,2021-11-04 18:37:47 UTC,TESLA,SHOPPING_CENTER,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
Tim Horton's,1290 Colborne St E,Brantford,N3T 5L9,519-759-7155,24 hours daily,,1,Non-Networked,43.14943609,-80.1870915,2022-04-13,85116,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,
Tim Horton's,51 Talbot St E,Cayuga,N0A 1E0,905-772-8100,24 hours daily,,1,Non-Networked,42.951401,-79.849479,2022-04-13,85126,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,
Tim Horton's,33 3rd St,Chatham,N7M 2M4,519-358-1049,24 hours daily,,1,Non-Networked,42.40411,-82.189163,2022-04-13,85127,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,
Tim Horton's,501 Hume St,Collingwood,L9Y 3J6,705-445-1951,24 hours daily,,1,Non-Networked,44.499925,-80.196829,2022-04-13,85129,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,
Tim Horton's,1167 Garrison Rd,Fort Erie,L2A 1N8,905-871-9997,24 hours daily,,1,Non-Networked,42.904444,-78.958962,2022-04-13,85138,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,
Tim Horton's,150 Talisman Dr,Gravenhurst,P1P 1K8,705-687-4709,24 hours daily,,1,Non-Networked,44.908049,-79.368723,2022-02-10,85143,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,
Casablanca Winery Inn & Spa - Tesla Supercharger,4 Windward Drive,Grimsby,L3M 4E8,877-798-3752,24 hours daily; for Tesla use only,,8,Tesla,43.209697,-79.600861,2021-10-11,85148,2021-11-04 18:37:47 UTC,TESLA,INN,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
Tim Horton's,1470 Highway 6,Hamilton,L8N 2Z7,905-690-2200,24 hours daily,,1,Non-Networked,43.376783,-80.00409,2022-02-10,85149,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,Free
Huntsville Place Mall - Tesla Supercharger,70 King William Street,Huntsville,P1H 2A5,877-798-3752,24 hours daily; for Tesla use only,,8,Tesla,45.333611,-79.206703,2021-10-11,85155,2021-11-04 18:37:47 UTC,TESLA,SHOPPING_MALL,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
King's Crossing Fashion Outlet Centre - Tesla Supercharger,97  Dalton Avenue,Kingston,K7K 0C4,877-798-3752,24 hours daily; for Tesla use only,,8,Tesla,44.267279,-76.503377,2021-10-11,85163,2021-11-04 18:37:47 UTC,TESLA,SHOPPING_CENTER,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
Tim Horton's,16815 Highway 12,Midland,L4R 0A9,705-528-1925,24 hours daily,,1,Non-Networked,44.729823,-79.873715,2022-02-10,85185,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,Parking fee required
Tim Horton's,8089 Portage Rd,Niagara Falls,L2G 5Z2,905-295-6800,24 hours daily,,1,Non-Networked,43.059827,-79.053274,2022-01-11,85198,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,Free
Tim Horton's,228 Wyecroft Rd,Oakville,L6K 3X7,905-337-5250,24 hours daily,,1,Non-Networked,43.446888,-79.694967,2022-01-11,85201,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,Free
Parry Sound Inn & Suites - Tesla Supercharger,292 Louisa Street,Parry Sound,P2A 3C1,877-798-3752,24 hours daily; for Tesla use only,,8,Tesla,45.345586,-80.006162,2021-10-11,85207,2021-11-04 18:37:47 UTC,TESLA,HOTEL,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
Tim Horton's,429 Main St W,Port Colborne,L3K 3W2,905-834-8857,24 hours daily,,1,Non-Networked,42.899117,-79.258793,2022-01-11,85212,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,Free
Tim Horton's,1399 Colborne Rd,Sarnia,N7V 3L8,519-332-3200,24 hours daily,,1,Non-Networked,43.005069,-82.388348,2022-01-11,85216,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,Free
Tim Horton's,401 Simcoe St,Tillsonburg,N4G 5V7,519-688-0896,24 hours daily,,1,Non-Networked,42.853153,-80.689851,2022-03-04,85226,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,Free
Tim Horton's,560 Broadway St,Tillsonburg,N4G 3S7,519-842-8979,24 hours daily,,1,Non-Networked,42.87722,-80.744461,2022-03-04,85227,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,RESTAURANT,Variable price
IKEA,15 Provost Dr,North York,M2K 2X9,866-866-4532,24 hours daily,,2,Non-Networked,43.768058,-79.369078,2022-01-11,85232,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,SHOPPING_CENTER,Free
ImPark - Sun Life Centre,200 King St W,Toronto,M5H 3T4,416-369-1801,24 hours daily; for client use only,,1,Non-Networked,43.647915,-79.385723,2020-01-06,85235,2022-04-28 20:01:31 UTC,CHADEMO J1772COMBO,PAY_GARAGE,Free
ImPark - University Centre,393 University Ave,Toronto,M5G 2J5,416-369-1801,5am-6pm; parking fee required,,1,Non-Networked,43.653998,-79.387212,2022-03-04,85241,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,PAY_GARAGE,"$5 first hour, $0.20 per min after first hour"
ImPark - MaRS Centre,661 University Ave,Toronto,M5G 1M1,416-369-1801,24 hours daily; parking fee,4,1,Non-Networked,43.659265,-79.390105,2022-04-13,85250,2022-04-26 16:04:15 UTC,CHADEMO J1772 J1772COMBO,PAY_GARAGE,Free
RBC Royal Bank,6880 Financial Dr,Mississauga,L5N 7Y5,905-286-7100,24 hours daily,,2,EV Connect,43.608983,-79.74574,2022-04-13,85300,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,BANK,$12 per hour
Royal Bank Plaza,200 Bay St,Toronto,M5J 2J1,416-861-0542,24 hours daily,4,1,Non-Networked,43.646302,-79.379753,2019-01-14,85314,2021-06-07 17:08:43 UTC,CHADEMO J1772 J1772COMBO,OFFICE_BLDG,"Level 2: $1.50 per session + $3.00 charge rate + $0.20 per min dwell charge_x000D_
DC fast: $3.95 per session + $5.00 charge rate + $0.40 per min dwell charge"
ImPark - Atria,2235 Sheppard Ave E,Toronto,M2J 5C2,416-369-1801,24 hours daily,3,1,Non-Networked,43.772736,-79.327856,2022-03-04,85315,2022-04-26 16:04:15 UTC,CHADEMO J1772 J1772COMBO,PAY_GARAGE,Level 2: $12 per hour; DC Fast: $24 per hour
Toronto and Region Conservation - Head Office,101 Exchange Ave,Vaughan,L4K 5R6,416-661-6600,24 hours daily,2,1,Non-Networked,43.78603,-79.532061,2020-01-06,85319,2021-06-07 17:08:43 UTC,CHADEMO J1772 J1772COMBO,PARK,Free
La Municipalite de Cap-St-Ignace,180 Place de l'Eglise,Cap-Saint-Ignace,G0R 1H0,418-246-5631,24 hours daily,2,,Non-Networked,47.037654,-70.456662,2021-04-12,85324,2022-04-07 20:01:15 UTC,J1772 TESLA,MUNI_GOV,Free
Archibald,1021 boul. du Lac,Lac Beauport,G3B 0X1,418-841-2224,24 hours daily; for guest use only,2,,Non-Networked,46.937609,-71.309035,2021-10-12,85329,2022-04-28 20:01:31 UTC,J1772 TESLA,RESTAURANT,Free
Garibaldi Village Shopping Centre - Tesla Supercharger,40167 Glenalder Pl,Squamish,V8B 0G2,877-798-3752,24 hours daily; for Tesla use only,,10,Tesla,49.736836,-123.133671,2021-10-11,85349,2021-11-04 18:37:47 UTC,TESLA,SHOPPING_CENTER,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
Sheraton Red Deer - Tesla Supercharger,3310 50 Avenue,Red Deer,T4N 3X9,877-798-3752,24 hours daily; for Tesla use only,,4,Tesla,52.251899,-113.814659,2021-10-11,85366,2021-11-04 18:37:47 UTC,TESLA,HOTEL,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
Woodgrove Centre - Tesla Supercharger,6631 N Island Hwy,Nanaimo,V9T 4T7,877-798-3752,24 hours daily; for Tesla use only,,8,Tesla,49.237897,-124.054727,2021-10-11,86805,2021-11-04 18:37:47 UTC,TESLA,SHOPPING_CENTER,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW
Scotiabank,4220 Sheppard Ave E,Agincourt,M1S 1T5,416-297-2460,24 hours daily,,1,EV Connect,43.785931,-79.277692,2022-04-13,87662,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,BANK,
Tim Horton's,1180 Wilson St,Ancaster,L9G 3K9,905-648-5222,24 hours daily,1,1,Non-Networked,43.196149,-80.020687,2022-04-13,87663,2022-04-26 16:04:15 UTC,CHADEMO J1772 J1772COMBO,RESTAURANT,
Scotiabank,169 John St N,Arnprior,K7S 2N8,613-623-7314,24 hours daily,,1,Non-Networked,45.434577,-76.352803,2017-10-03,87664,2022-04-06 20:42:57 UTC,CHADEMO J1772COMBO,BANK,
Scotiabank,5385 Lakeshore Rd E,Burlington,L7L 1C8,905-637-5231 x4400,24 hours daily,,1,EV Connect,43.368081,-79.730415,2022-04-13,87668,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,BANK,"$3.95 fee, $0.20 per minute"
Scotiabank,85 Bridge St,Carleton Place,K7C 2V4,613-253-5400,24 hours daily,,1,EV Connect,45.138635,-76.14444,2022-04-13,87670,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,BANK,
